Student,SUB_1,SUB_2,SUB_3,SUB_4,SUB_5,SUB_6,SUB_7,SUB_8,SUB_9,SUB_10,USUB_1,USUB_2,USUB_3,USUB_4,USUB_5,USUB_6,USUB_7,USUB_8,USUB_9,USUB_10,SGD_1,SGD_2,SGD_3,SGD_4,SGD_5,SGD_6,SGD_7,SGD_8,SGD_9,SGD_10
250,Discrete Structures,Art Appreciation,Understanding the Self,Readings in Philippine History,Living in the IT Era,Computer Programming,Essentials of Catholic Faith & Life,Technopreneurship,Physical Education 3,Data Structures & Algorithms,3,1,1,1,2,3,1,2,2,3,82,76,93,76,91,74,94,91,92,85
251,Technopreneurship,Art Appreciation,Data Structures & Algorithms,Physical Education 3,Readings in Philippine History,Understanding the Self,Ethics,Basic Grammar & Writing Composition (Nihongo),Life & Works of Rizal,Living in the IT Era,2,1,3,2,1,1,2,2,1,2,91,85,81,76,83,85,95,74,80,73
252,Essentials of Catholic Faith & Life,Physical Education 3,Life & Works of Rizal,Discrete Structures,Readings in Philippine History,Basic Grammar & Writing Composition (Nihongo),Technopreneurship,Ethics,Computer Programming,Parallel & Distributed Computing,1,2,1,3,1,2,2,2,3,3,89,98,84,74,72,88,87,85,97,78
253,Data Structures & Algorithms,Readings in Philippine History,Technopreneurship,Basic Grammar & Writing Composition (Nihongo),Living in the IT Era,Discrete Structures,Parallel & Distributed Computing,Computer Programming,Essentials of Catholic Faith & Life,Art Appreciation,3,1,2,2,2,3,3,3,1,1,82,88,98,98,92,89,92,75,87,82
254,Differential Calculus,Discrete Structures,Life & Works of Rizal,Computer Programming,Art Appreciation,Basic Grammar & Writing Composition (Nihongo),Ethics,Essentials of Catholic Faith & Life,Living in the IT Era,Physical Education 3,3,3,1,3,1,2,2,1,2,2,79,75,92,88,80,85,93,72,70,89
255,Computer Programming,Readings in Philippine History,Parallel & Distributed Computing,Art Appreciation,Basic Grammar & Writing Composition (Nihongo),Differential Calculus,Living in the IT Era,Data Structures & Algorithms,Life & Works of Rizal,Understanding the Self,3,1,3,1,2,3,2,3,1,1,94,83,77,82,96,73,82,86,85,74
256,Parallel & Distributed Computing,Readings in Philippine History,Physical Education 3,Understanding the Self,Art Appreciation,Living in the IT Era,Life & Works of Rizal,Essentials of Catholic Faith & Life,Discrete Structures,Differential Calculus,3,1,2,1,1,2,1,1,3,3,78,73,95,73,99,94,84,91,98,73
257,Readings in Philippine History,Discrete Structures,Physical Education 3,Parallel & Distributed Computing,Technopreneurship,Differential Calculus,Understanding the Self,Ethics,Basic Grammar & Writing Composition (Nihongo),Data Structures & Algorithms,1,3,2,3,2,3,1,2,2,3,75,82,75,75,70,81,72,81,85,73
258,Art Appreciation,Differential Calculus,Living in the IT Era,Physical Education 3,Computer Programming,Parallel & Distributed Computing,Discrete Structures,Readings in Philippine History,Basic Grammar & Writing Composition (Nihongo),Ethics,1,3,2,2,3,3,3,1,2,2,73,83,74,97,87,94,91,79,85,88
259,Physical Education 3,Life & Works of Rizal,Living in the IT Era,Readings in Philippine History,Basic Grammar & Writing Composition (Nihongo),Data Structures & Algorithms,Ethics,Technopreneurship,Essentials of Catholic Faith & Life,Understanding the Self,2,1,2,1,2,3,2,2,1,1,73,82,80,78,97,92,85,78,91,89
260,Computer Programming,Understanding the Self,Life & Works of Rizal,Living in the IT Era,Discrete Structures,Physical Education 3,Basic Grammar & Writing Composition (Nihongo),Parallel & Distributed Computing,Technopreneurship,Data Structures & Algorithms,3,1,1,2,3,2,2,3,2,3,87,92,89,77,79,85,91,84,86,94
261,Differential Calculus,Computer Programming,Ethics,Parallel & Distributed Computing,Physical Education 3,Art Appreciation,Technopreneurship,Living in the IT Era,Essentials of Catholic Faith & Life,Basic Grammar & Writing Composition (Nihongo),3,3,2,3,2,1,2,2,1,2,78,100,72,94,85,97,80,98,98,70
262,Life & Works of Rizal,Data Structures & Algorithms,Technopreneurship,Computer Programming,Essentials of Catholic Faith & Life,Ethics,Readings in Philippine History,Differential Calculus,Discrete Structures,Living in the IT Era,1,3,2,3,1,2,1,3,3,2,90,81,100,75,72,81,92,78,83,71
263,Basic Grammar & Writing Composition (Nihongo),Understanding the Self,Discrete Structures,Data Structures & Algorithms,Ethics,Living in the IT Era,Life & Works of Rizal,Art Appreciation,Parallel & Distributed Computing,Readings in Philippine History,2,1,3,3,2,2,1,1,3,1,92,70,79,86,71,70,83,90,80,86
264,Ethics,Art Appreciation,Life & Works of Rizal,Physical Education 3,Essentials of Catholic Faith & Life,Readings in Philippine History,Living in the IT Era,Differential Calculus,Data Structures & Algorithms,Parallel & Distributed Computing,2,1,1,2,1,1,2,3,3,3,74,93,74,71,88,84,87,79,98,73
265,Readings in Philippine History,Art Appreciation,Living in the IT Era,Technopreneurship,Differential Calculus,Essentials of Catholic Faith & Life,Computer Programming,Basic Grammar & Writing Composition (Nihongo),Discrete Structures,Parallel & Distributed Computing,1,1,2,2,3,1,3,2,3,3,75,81,73,91,86,84,70,79,93,97
266,Discrete Structures,Living in the IT Era,Computer Programming,Life & Works of Rizal,Art Appreciation,Basic Grammar & Writing Composition (Nihongo),Differential Calculus,Technopreneurship,Physical Education 3,Readings in Philippine History,3,2,3,1,1,2,3,2,2,1,85,95,84,90,74,98,75,73,80,70
267,Life & Works of Rizal,Living in the IT Era,Data Structures & Algorithms,Differential Calculus,Ethics,Understanding the Self,Computer Programming,Parallel & Distributed Computing,Art Appreciation,Essentials of Catholic Faith & Life,1,2,3,3,2,1,3,3,1,1,72,92,77,97,79,96,70,77,77,78
268,Understanding the Self,Essentials of Catholic Faith & Life,Differential Calculus,Readings in Philippine History,Ethics,Basic Grammar & Writing Composition (Nihongo),Physical Education 3,Computer Programming,Art Appreciation,Parallel & Distributed Computing,1,1,3,1,2,2,2,3,1,3,77,88,70,90,91,77,75,85,90,92
269,Computer Programming,Living in the IT Era,Data Structures & Algorithms,Understanding the Self,Art Appreciation,Differential Calculus,Ethics,Life & Works of Rizal,Essentials of Catholic Faith & Life,Technopreneurship,3,2,3,1,1,3,2,1,1,2,72,71,79,73,92,80,97,70,95,100
270,Life & Works of Rizal,Technopreneurship,Parallel & Distributed Computing,Basic Grammar & Writing Composition (Nihongo),Living in the IT Era,Differential Calculus,Physical Education 3,Understanding the Self,Readings in Philippine History,Computer Programming,1,2,3,2,2,3,2,1,1,3,94,78,81,89,88,92,76,79,96,88
271,Essentials of Catholic Faith & Life,Ethics,Basic Grammar & Writing Composition (Nihongo),Art Appreciation,Computer Programming,Life & Works of Rizal,Data Structures & Algorithms,Differential Calculus,Parallel & Distributed Computing,Readings in Philippine History,1,2,2,1,3,1,3,3,3,1,100,97,91,83,84,73,79,96,74,80
272,Differential Calculus,Technopreneurship,Art Appreciation,Ethics,Life & Works of Rizal,Parallel & Distributed Computing,Physical Education 3,Living in the IT Era,Readings in Philippine History,Discrete Structures,3,2,1,2,1,3,2,2,1,3,72,73,70,74,83,74,74,85,80,80
273,Physical Education 3,Parallel & Distributed Computing,Basic Grammar & Writing Composition (Nihongo),Living in the IT Era,Data Structures & Algorithms,Technopreneurship,Ethics,Readings in Philippine History,Discrete Structures,Differential Calculus,2,3,2,2,3,2,2,1,3,3,82,81,99,96,97,99,73,75,99,95
274,Computer Programming,Readings in Philippine History,Basic Grammar & Writing Composition (Nihongo),Ethics,Life & Works of Rizal,Technopreneurship,Data Structures & Algorithms,Living in the IT Era,Art Appreciation,Differential Calculus,3,1,2,2,1,2,3,2,1,3,97,88,96,86,99,94,95,77,72,81
275,Basic Grammar & Writing Composition (Nihongo),Life & Works of Rizal,Technopreneurship,Physical Education 3,Understanding the Self,Differential Calculus,Art Appreciation,Computer Programming,Ethics,Readings in Philippine History,2,1,2,2,1,3,1,3,2,1,91,79,82,92,83,98,77,77,89,73
276,Computer Programming,Technopreneurship,Living in the IT Era,Differential Calculus,Understanding the Self,Readings in Philippine History,Physical Education 3,Ethics,Basic Grammar & Writing Composition (Nihongo),Parallel & Distributed Computing,3,2,2,3,1,1,2,2,2,3,92,94,79,94,91,94,93,99,92,87
277,Understanding the Self,Physical Education 3,Living in the IT Era,Ethics,Differential Calculus,Life & Works of Rizal,Discrete Structures,Parallel & Distributed Computing,Essentials of Catholic Faith & Life,Technopreneurship,1,2,2,2,3,1,3,3,1,2,72,71,86,99,70,76,83,99,94,92
278,Understanding the Self,Art Appreciation,Basic Grammar & Writing Composition (Nihongo),Living in the IT Era,Technopreneurship,Physical Education 3,Essentials of Catholic Faith & Life,Data Structures & Algorithms,Discrete Structures,Readings in Philippine History,1,1,2,2,2,2,1,3,3,1,86,74,75,87,72,79,82,87,73,77
279,Life & Works of Rizal,Art Appreciation,Ethics,Physical Education 3,Basic Grammar & Writing Composition (Nihongo),Living in the IT Era,Parallel & Distributed Computing,Understanding the Self,Technopreneurship,Differential Calculus,1,1,2,2,2,2,3,1,2,3,71,82,89,85,94,81,97,84,82,100
280,Differential Calculus,Understanding the Self,Living in the IT Era,Parallel & Distributed Computing,Life & Works of Rizal,Technopreneurship,Basic Grammar & Writing Composition (Nihongo),Art Appreciation,Ethics,Computer Programming,3,1,2,3,1,2,2,1,2,3,100,82,80,81,86,71,90,97,75,76
281,Readings in Philippine History,Life & Works of Rizal,Essentials of Catholic Faith & Life,Data Structures & Algorithms,Technopreneurship,Computer Programming,Discrete Structures,Art Appreciation,Ethics,Parallel & Distributed Computing,1,1,1,3,2,3,3,1,2,3,91,93,88,82,97,85,88,95,77,78
282,Readings in Philippine History,Computer Programming,Life & Works of Rizal,Art Appreciation,Parallel & Distributed Computing,Differential Calculus,Physical Education 3,Technopreneurship,Understanding the Self,Discrete Structures,1,3,1,1,3,3,2,2,1,3,83,89,87,81,97,74,95,84,90,83
283,Data Structures & Algorithms,Essentials of Catholic Faith & Life,Art Appreciation,Parallel & Distributed Computing,Understanding the Self,Differential Calculus,Discrete Structures,Living in the IT Era,Readings in Philippine History,Physical Education 3,3,1,1,3,1,3,3,2,1,2,94,83,83,86,98,93,90,93,82,81
284,Data Structures & Algorithms,Basic Grammar & Writing Composition (Nihongo),Discrete Structures,Technopreneurship,Life & Works of Rizal,Parallel & Distributed Computing,Understanding the Self,Art Appreciation,Differential Calculus,Readings in Philippine History,3,2,3,2,1,3,1,1,3,1,99,99,82,97,81,97,88,78,86,89
285,Living in the IT Era,Parallel & Distributed Computing,Ethics,Basic Grammar & Writing Composition (Nihongo),Essentials of Catholic Faith & Life,Discrete Structures,Technopreneurship,Differential Calculus,Life & Works of Rizal,Computer Programming,2,3,2,2,1,3,2,3,1,3,90,75,88,94,98,100,73,100,75,82
286,Discrete Structures,Ethics,Living in the IT Era,Life & Works of Rizal,Readings in Philippine History,Physical Education 3,Technopreneurship,Basic Grammar & Writing Composition (Nihongo),Parallel & Distributed Computing,Understanding the Self,3,2,2,1,1,2,2,2,3,1,76,100,88,85,72,99,80,91,81,82
287,Life & Works of Rizal,Data Structures & Algorithms,Parallel & Distributed Computing,Ethics,Differential Calculus,Essentials of Catholic Faith & Life,Living in the IT Era,Basic Grammar & Writing Composition (Nihongo),Physical Education 3,Computer Programming,1,3,3,2,3,1,2,2,2,3,72,77,86,99,97,70,99,80,90,99
288,Differential Calculus,Understanding the Self,Basic Grammar & Writing Composition (Nihongo),Computer Programming,Parallel & Distributed Computing,Life & Works of Rizal,Ethics,Living in the IT Era,Data Structures & Algorithms,Discrete Structures,3,1,2,3,3,1,2,2,3,3,73,83,70,86,86,71,90,84,97,81
289,Essentials of Catholic Faith & Life,Technopreneurship,Differential Calculus,Art Appreciation,Understanding the Self,Computer Programming,Living in the IT Era,Life & Works of Rizal,Readings in Philippine History,Ethics,1,2,3,1,1,3,2,1,1,2,98,78,77,84,86,76,87,77,82,72
290,Computer Programming,Life & Works of Rizal,Understanding the Self,Data Structures & Algorithms,Ethics,Living in the IT Era,Differential Calculus,Parallel & Distributed Computing,Art Appreciation,Basic Grammar & Writing Composition (Nihongo),3,1,1,3,2,2,3,3,1,2,97,91,74,90,95,91,96,76,100,93
291,Physical Education 3,Basic Grammar & Writing Composition (Nihongo),Parallel & Distributed Computing,Ethics,Technopreneurship,Computer Programming,Understanding the Self,Differential Calculus,Life & Works of Rizal,Discrete Structures,2,2,3,2,2,3,1,3,1,3,96,97,97,83,75,73,75,90,95,80
292,Ethics,Parallel & Distributed Computing,Readings in Philippine History,Discrete Structures,Understanding the Self,Essentials of Catholic Faith & Life,Basic Grammar & Writing Composition (Nihongo),Art Appreciation,Technopreneurship,Life & Works of Rizal,2,3,1,3,1,1,2,1,2,1,82,92,76,89,96,98,71,70,86,90
293,Parallel & Distributed Computing,Readings in Philippine History,Computer Programming,Understanding the Self,Discrete Structures,Living in the IT Era,Physical Education 3,Data Structures & Algorithms,Basic Grammar & Writing Composition (Nihongo),Technopreneurship,3,1,3,1,3,2,2,3,2,2,71,79,70,76,88,94,99,88,75,81
294,Art Appreciation,Life & Works of Rizal,Discrete Structures,Living in the IT Era,Understanding the Self,Data Structures & Algorithms,Differential Calculus,Parallel & Distributed Computing,Computer Programming,Physical Education 3,1,1,3,2,1,3,3,3,3,2,100,75,84,89,81,88,88,77,89,77
295,Basic Grammar & Writing Composition (Nihongo),Living in the IT Era,Essentials of Catholic Faith & Life,Discrete Structures,Parallel & Distributed Computing,Ethics,Physical Education 3,Readings in Philippine History,Data Structures & Algorithms,Life & Works of Rizal,2,2,1,3,3,2,2,1,3,1,81,89,74,81,76,72,97,98,96,80
296,Understanding the Self,Data Structures & Algorithms,Living in the IT Era,Physical Education 3,Basic Grammar & Writing Composition (Nihongo),Ethics,Discrete Structures,Art Appreciation,Essentials of Catholic Faith & Life,Technopreneurship,1,3,2,2,2,2,3,1,1,2,86,94,92,77,79,72,81,73,81,71
297,Readings in Philippine History,Life & Works of Rizal,Basic Grammar & Writing Composition (Nihongo),Ethics,Data Structures & Algorithms,Technopreneurship,Living in the IT Era,Art Appreciation,Differential Calculus,Discrete Structures,1,1,2,2,3,2,2,1,3,3,99,84,71,70,87,93,81,99,80,73
298,Living in the IT Era,Life & Works of Rizal,Physical Education 3,Basic Grammar & Writing Composition (Nihongo),Technopreneurship,Data Structures & Algorithms,Parallel & Distributed Computing,Understanding the Self,Ethics,Essentials of Catholic Faith & Life,2,1,2,2,2,3,3,1,2,1,79,81,88,96,99,81,95,91,72,94
299,Differential Calculus,Physical Education 3,Computer Programming,Data Structures & Algorithms,Basic Grammar & Writing Composition (Nihongo),Essentials of Catholic Faith & Life,Ethics,Readings in Philippine History,Parallel & Distributed Computing,Understanding the Self,3,2,3,3,2,1,2,1,3,1,96,99,89,74,81,82,78,76,71,84
300,Basic Grammar & Writing Composition (Nihongo),Art Appreciation,Readings in Philippine History,Understanding the Self,Technopreneurship,Life & Works of Rizal,Ethics,Computer Programming,Living in the IT Era,Data Structures & Algorithms,2,1,1,1,2,1,2,3,2,3,80,92,80,94,98,86,94,99,73,79
301,Differential Calculus,Physical Education 3,Computer Programming,Data Structures & Algorithms,Basic Grammar & Writing Composition (Nihongo),Readings in Philippine History,Ethics,Parallel & Distributed Computing,Technopreneurship,Living in the IT Era,3,2,3,3,2,1,2,3,2,2,78,86,80,87,97,100,83,99,93,72
302,Differential Calculus,Art Appreciation,Ethics,Basic Grammar & Writing Composition (Nihongo),Readings in Philippine History,Physical Education 3,Life & Works of Rizal,Discrete Structures,Data Structures & Algorithms,Essentials of Catholic Faith & Life,3,1,2,2,1,2,1,3,3,1,95,97,74,90,72,73,93,73,72,70
303,Basic Grammar & Writing Composition (Nihongo),Essentials of Catholic Faith & Life,Art Appreciation,Living in the IT Era,Readings in Philippine History,Data Structures & Algorithms,Life & Works of Rizal,Ethics,Computer Programming,Understanding the Self,2,1,1,2,1,3,1,2,3,1,72,78,100,72,90,87,78,94,95,88
304,Ethics,Readings in Philippine History,Data Structures & Algorithms,Computer Programming,Understanding the Self,Discrete Structures,Technopreneurship,Differential Calculus,Life & Works of Rizal,Parallel & Distributed Computing,2,1,3,3,1,3,2,3,1,3,79,81,79,89,80,96,78,85,88,97
305,Physical Education 3,Data Structures & Algorithms,Art Appreciation,Basic Grammar & Writing Composition (Nihongo),Differential Calculus,Ethics,Understanding the Self,Discrete Structures,Parallel & Distributed Computing,Essentials of Catholic Faith & Life,2,3,1,2,3,2,1,3,3,1,78,70,86,91,87,71,74,87,70,94
306,Differential Calculus,Basic Grammar & Writing Composition (Nihongo),Ethics,Essentials of Catholic Faith & Life,Life & Works of Rizal,Understanding the Self,Physical Education 3,Computer Programming,Data Structures & Algorithms,Art Appreciation,3,2,2,1,1,1,2,3,3,1,74,90,83,95,90,96,95,87,89,73
307,Data Structures & Algorithms,Life & Works of Rizal,Basic Grammar & Writing Composition (Nihongo),Physical Education 3,Readings in Philippine History,Art Appreciation,Ethics,Discrete Structures,Essentials of Catholic Faith & Life,Technopreneurship,3,1,2,2,1,1,2,3,1,2,73,78,84,87,80,87,95,98,96,81
308,Differential Calculus,Readings in Philippine History,Living in the IT Era,Ethics,Data Structures & Algorithms,Understanding the Self,Physical Education 3,Basic Grammar & Writing Composition (Nihongo),Life & Works of Rizal,Discrete Structures,3,1,2,2,3,1,2,2,1,3,97,74,73,79,81,94,70,94,92,90
309,Differential Calculus,Data Structures & Algorithms,Life & Works of Rizal,Ethics,Basic Grammar & Writing Composition (Nihongo),Readings in Philippine History,Discrete Structures,Living in the IT Era,Essentials of Catholic Faith & Life,Physical Education 3,3,3,1,2,2,1,3,2,1,2,87,73,70,82,73,83,79,95,80,99
310,Ethics,Differential Calculus,Technopreneurship,Life & Works of Rizal,Basic Grammar & Writing Composition (Nihongo),Essentials of Catholic Faith & Life,Parallel & Distributed Computing,Data Structures & Algorithms,Art Appreciation,Computer Programming,2,3,2,1,2,1,3,3,1,3,99,87,79,94,77,96,89,80,91,96
311,Basic Grammar & Writing Composition (Nihongo),Technopreneurship,Differential Calculus,Readings in Philippine History,Life & Works of Rizal,Essentials of Catholic Faith & Life,Understanding the Self,Living in the IT Era,Physical Education 3,Art Appreciation,2,2,3,1,1,1,1,2,2,1,83,73,96,91,91,91,72,97,90,99
312,Technopreneurship,Understanding the Self,Differential Calculus,Discrete Structures,Art Appreciation,Ethics,Essentials of Catholic Faith & Life,Life & Works of Rizal,Readings in Philippine History,Living in the IT Era,2,1,3,3,1,2,1,1,1,2,95,83,85,98,93,77,84,85,91,83
313,Basic Grammar & Writing Composition (Nihongo),Essentials of Catholic Faith & Life,Art Appreciation,Parallel & Distributed Computing,Discrete Structures,Living in the IT Era,Data Structures & Algorithms,Life & Works of Rizal,Technopreneurship,Ethics,2,1,1,3,3,2,3,1,2,2,89,83,81,82,75,86,91,72,87,100
314,Life & Works of Rizal,Physical Education 3,Differential Calculus,Data Structures & Algorithms,Technopreneurship,Readings in Philippine History,Essentials of Catholic Faith & Life,Discrete Structures,Parallel & Distributed Computing,Understanding the Self,1,2,3,3,2,1,1,3,3,1,72,100,74,81,85,82,91,82,80,86
315,Basic Grammar & Writing Composition (Nihongo),Essentials of Catholic Faith & Life,Parallel & Distributed Computing,Ethics,Data Structures & Algorithms,Understanding the Self,Life & Works of Rizal,Art Appreciation,Readings in Philippine History,Living in the IT Era,2,1,3,2,3,1,1,1,1,2,90,93,79,100,73,72,88,95,81,91
316,Computer Programming,Essentials of Catholic Faith & Life,Discrete Structures,Differential Calculus,Ethics,Parallel & Distributed Computing,Art Appreciation,Life & Works of Rizal,Understanding the Self,Physical Education 3,3,1,3,3,2,3,1,1,1,2,93,88,84,92,93,95,73,98,77,99
317,Computer Programming,Essentials of Catholic Faith & Life,Life & Works of Rizal,Readings in Philippine History,Data Structures & Algorithms,Technopreneurship,Physical Education 3,Parallel & Distributed Computing,Understanding the Self,Discrete Structures,3,1,1,1,3,2,2,3,1,3,82,74,81,70,91,70,90,87,86,80
318,Art Appreciation,Life & Works of Rizal,Physical Education 3,Living in the IT Era,Computer Programming,Discrete Structures,Understanding the Self,Technopreneurship,Readings in Philippine History,Essentials of Catholic Faith & Life,1,1,2,2,3,3,1,2,1,1,87,87,88,95,100,83,90,83,86,89
319,Computer Programming,Data Structures & Algorithms,Life & Works of Rizal,Technopreneurship,Essentials of Catholic Faith & Life,Basic Grammar & Writing Composition (Nihongo),Discrete Structures,Parallel & Distributed Computing,Physical Education 3,Ethics,3,3,1,2,1,2,3,3,2,2,77,96,89,78,97,80,74,95,82,70
320,Discrete Structures,Technopreneurship,Computer Programming,Understanding the Self,Differential Calculus,Essentials of Catholic Faith & Life,Basic Grammar & Writing Composition (Nihongo),Life & Works of Rizal,Ethics,Art Appreciation,3,2,3,1,3,1,2,1,2,1,95,79,83,82,74,80,100,96,95,81
321,Understanding the Self,Readings in Philippine History,Data Structures & Algorithms,Art Appreciation,Discrete Structures,Basic Grammar & Writing Composition (Nihongo),Living in the IT Era,Ethics,Life & Works of Rizal,Technopreneurship,1,1,3,1,3,2,2,2,1,2,72,92,98,74,71,95,74,76,98,81
322,Essentials of Catholic Faith & Life,Living in the IT Era,Parallel & Distributed Computing,Physical Education 3,Life & Works of Rizal,Basic Grammar & Writing Composition (Nihongo),Art Appreciation,Computer Programming,Readings in Philippine History,Understanding the Self,1,2,3,2,1,2,1,3,1,1,74,93,92,70,78,95,76,90,93,96
323,Discrete Structures,Data Structures & Algorithms,Basic Grammar & Writing Composition (Nihongo),Physical Education 3,Essentials of Catholic Faith & Life,Living in the IT Era,Understanding the Self,Ethics,Parallel & Distributed Computing,Life & Works of Rizal,3,3,2,2,1,2,1,2,3,1,82,88,88,84,99,80,75,74,83,76
324,Physical Education 3,Parallel & Distributed Computing,Differential Calculus,Essentials of Catholic Faith & Life,Readings in Philippine History,Discrete Structures,Living in the IT Era,Computer Programming,Technopreneurship,Life & Works of Rizal,2,3,3,1,1,3,2,3,2,1,91,86,71,96,98,72,100,95,95,79
325,Physical Education 3,Essentials of Catholic Faith & Life,Data Structures & Algorithms,Basic Grammar & Writing Composition (Nihongo),Technopreneurship,Understanding the Self,Discrete Structures,Life & Works of Rizal,Parallel & Distributed Computing,Art Appreciation,2,1,3,2,2,1,3,1,3,1,100,75,88,74,75,83,88,73,72,99
326,Data Structures & Algorithms,Physical Education 3,Ethics,Life & Works of Rizal,Understanding the Self,Parallel & Distributed Computing,Essentials of Catholic Faith & Life,Art Appreciation,Computer Programming,Discrete Structures,3,2,2,1,1,3,1,1,3,3,77,81,70,83,86,86,92,91,83,97
327,Data Structures & Algorithms,Physical Education 3,Living in the IT Era,Art Appreciation,Technopreneurship,Discrete Structures,Life & Works of Rizal,Ethics,Parallel & Distributed Computing,Basic Grammar & Writing Composition (Nihongo),3,2,2,1,2,3,1,2,3,2,99,82,96,85,86,72,70,73,83,96
328,Art Appreciation,Living in the IT Era,Discrete Structures,Data Structures & Algorithms,Basic Grammar & Writing Composition (Nihongo),Technopreneurship,Readings in Philippine History,Life & Works of Rizal,Understanding the Self,Physical Education 3,1,2,3,3,2,2,1,1,1,2,87,97,85,77,73,71,74,75,99,87
329,Discrete Structures,Computer Programming,Physical Education 3,Parallel & Distributed Computing,Living in the IT Era,Art Appreciation,Understanding the Self,Readings in Philippine History,Life & Works of Rizal,Data Structures & Algorithms,3,3,2,3,2,1,1,1,1,3,86,91,89,80,92,77,93,93,84,76
330,Understanding the Self,Computer Programming,Life & Works of Rizal,Basic Grammar & Writing Composition (Nihongo),Discrete Structures,Art Appreciation,Data Structures & Algorithms,Parallel & Distributed Computing,Physical Education 3,Differential Calculus,1,3,1,2,3,1,3,3,2,3,85,80,94,89,71,86,73,100,77,87
331,Understanding the Self,Technopreneurship,Computer Programming,Essentials of Catholic Faith & Life,Parallel & Distributed Computing,Data Structures & Algorithms,Ethics,Life & Works of Rizal,Differential Calculus,Art Appreciation,1,2,3,1,3,3,2,1,3,1,89,91,88,72,73,90,78,91,97,90
332,Discrete Structures,Physical Education 3,Computer Programming,Data Structures & Algorithms,Essentials of Catholic Faith & Life,Art Appreciation,Differential Calculus,Ethics,Life & Works of Rizal,Basic Grammar & Writing Composition (Nihongo),3,2,3,3,1,1,3,2,1,2,98,96,84,77,88,84,88,95,91,83
333,Living in the IT Era,Readings in Philippine History,Essentials of Catholic Faith & Life,Physical Education 3,Life & Works of Rizal,Computer Programming,Differential Calculus,Technopreneurship,Data Structures & Algorithms,Ethics,2,1,1,2,1,3,3,2,3,2,85,80,73,90,70,86,95,94,91,94
334,Essentials of Catholic Faith & Life,Living in the IT Era,Physical Education 3,Discrete Structures,Art Appreciation,Parallel & Distributed Computing,Differential Calculus,Understanding the Self,Computer Programming,Data Structures & Algorithms,1,2,2,3,1,3,3,1,3,3,99,89,77,92,99,90,72,89,76,73
335,Readings in Philippine History,Essentials of Catholic Faith & Life,Ethics,Parallel & Distributed Computing,Physical Education 3,Art Appreciation,Discrete Structures,Technopreneurship,Life & Works of Rizal,Computer Programming,1,1,2,3,2,1,3,2,1,3,72,76,70,74,85,83,71,76,91,78
336,Basic Grammar & Writing Composition (Nihongo),Parallel & Distributed Computing,Living in the IT Era,Discrete Structures,Differential Calculus,Technopreneurship,Readings in Philippine History,Computer Programming,Art Appreciation,Life & Works of Rizal,2,3,2,3,3,2,1,3,1,1,84,82,88,99,94,70,100,79,88,78
337,Ethics,Basic Grammar & Writing Composition (Nihongo),Living in the IT Era,Life & Works of Rizal,Technopreneurship,Parallel & Distributed Computing,Art Appreciation,Computer Programming,Readings in Philippine History,Essentials of Catholic Faith & Life,2,2,2,1,2,3,1,3,1,1,91,87,75,96,100,77,96,96,80,78
338,Ethics,Readings in Philippine History,Technopreneurship,Computer Programming,Basic Grammar & Writing Composition (Nihongo),Discrete Structures,Life & Works of Rizal,Physical Education 3,Art Appreciation,Data Structures & Algorithms,2,1,2,3,2,3,1,2,1,3,90,72,89,87,71,73,82,79,81,80
339,Life & Works of Rizal,Readings in Philippine History,Technopreneurship,Computer Programming,Data Structures & Algorithms,Parallel & Distributed Computing,Understanding the Self,Discrete Structures,Differential Calculus,Ethics,1,1,2,3,3,3,1,3,3,2,100,86,83,93,80,93,94,92,74,98
340,Differential Calculus,Physical Education 3,Art Appreciation,Basic Grammar & Writing Composition (Nihongo),Parallel & Distributed Computing,Computer Programming,Ethics,Life & Works of Rizal,Essentials of Catholic Faith & Life,Understanding the Self,3,2,1,2,3,3,2,1,1,1,78,79,98,99,89,83,85,70,100,74
341,Art Appreciation,Understanding the Self,Physical Education 3,Readings in Philippine History,Computer Programming,Ethics,Discrete Structures,Life & Works of Rizal,Data Structures & Algorithms,Technopreneurship,1,1,2,1,3,2,3,1,3,2,93,85,70,93,75,95,83,83,84,83
342,Ethics,Readings in Philippine History,Art Appreciation,Parallel & Distributed Computing,Life & Works of Rizal,Computer Programming,Technopreneurship,Living in the IT Era,Discrete Structures,Data Structures & Algorithms,2,1,1,3,1,3,2,2,3,3,79,79,93,99,80,92,76,96,88,77
343,Understanding the Self,Art Appreciation,Basic Grammar & Writing Composition (Nihongo),Essentials of Catholic Faith & Life,Technopreneurship,Discrete Structures,Physical Education 3,Ethics,Parallel & Distributed Computing,Readings in Philippine History,1,1,2,1,2,3,2,2,3,1,88,83,81,99,83,78,100,83,87,72
344,Data Structures & Algorithms,Ethics,Basic Grammar & Writing Composition (Nihongo),Art Appreciation,Readings in Philippine History,Parallel & Distributed Computing,Discrete Structures,Living in the IT Era,Technopreneurship,Essentials of Catholic Faith & Life,3,2,2,1,1,3,3,2,2,1,100,92,91,94,98,90,100,81,79,98
345,Physical Education 3,Life & Works of Rizal,Parallel & Distributed Computing,Basic Grammar & Writing Composition (Nihongo),Technopreneurship,Readings in Philippine History,Living in the IT Era,Differential Calculus,Data Structures & Algorithms,Understanding the Self,2,1,3,2,2,1,2,3,3,1,93,92,89,72,77,79,76,87,96,77
